Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
QC_results | SRR8668755	0.2783309988674214	3.7588491356441223
QC_results | SRR8668756	0.4017288273599731	1.94510892051505
QC_results | SRR8668757	0.25976299755739024	2.088048238884765
QC_results | SRR8668758	0.5992358689178707	1.8593721502445213
QC_results | SRR8668759	4.0531184292729145	7.5061581929606005
QC_results | SRR8668769	0.40733555397274607	4.385287869909638
QC_results | SRR8668771	0.2649319903706185	1.8409974452848077
QC_results | SRR8668772	0.45236788680817486	3.555424379728537
QC_results | SRR8668773	0.3692562815301139	3.242136342058158
QC_results | SRR8668774	0.5283963690448943	2.317912053424563
